X_coordinate,Y_coordinate,state,code,name,zone,address
87.102374,21.734258,,ARD,AMARDA ROAD,,
77.628672,11.25334,,PY,PERUNDURAI,,
74.572572,30.189431,Punjab,FSR,FAQARSAR,NR,"Fakarsar, Punjab"
94.0956546234,26.5616754046,Assam,CFG,CHAKITING,NFR,"Dhodar Ali, Assam"
77.587299,11.22501,,IGR,INGUR,,
77.522231,11.195525,,VZ,VIJAYAMANGALAM,,
78.429325,24.998509,,DLA,DOULTA,,
78.414552,25.039255,,TBT,TALBAHAT,,
78.40284,25.0851,,MZX,MATATILA,,
78.394254,25.142923,,BZY,BASAI,,
78.451748,25.237832,,BAB,BABINA,,
78.478365,25.304158,,KHJ,KHAJRAHA,,
78.5177461,25.3764678,,BJI,BIJAULI,,
78.545787,25.41949,,JHSA,JHANSI A CABIN,,
78.552985,25.443585,,JHS,JHANSI JN,,
78.509084,25.5308,,KRQ,KARARI,,
78.456356,25.64107,,DAA,DATIA,,
78.409099,25.730668,,SOR,SONAGIR,,
78.381661,25.811254,,KTRA,KOTRA,,
78.331015,25.881197,,DBA,DABRA,,
78.3042595734,25.9219956094,,SMTL,SIMARIATAL,,
78.2761320917,25.9553895013,,AEH,ANANT PAITH,,
80.143212,27.081164,Uttar Pradesh,FRH,Farhatnagar,NR,"Farhatnagar, Uttar Pradesh"
85.6329945703,23.3498809788,Jharkhand,GATD,Gautamdhara,SER,"Gautamdhara, Jharkhand"
70.919246,20.906347,Gujarat,GEG,Gir Gadhara,WR,"Junagadh, Gujarat"
73.813118,25.623979,Rajasthan,FLD,Phulad,NWR,"State Highway 62, Rajasthan"
81.930509,27.20976,Uttar Pradesh,GADM,Ganga Dham,NER,"Ganga Dham, Uttar Pradesh"
81.550321,20.714515,Chhattisgarh,DTR,Dhamtari,SECR,"Dhamtari, Chhattisgarh"
72.378575,23.960816,Gujarat,DRW,DHAREWADA,WR,"Unjha, Gujarat"
73.279577,25.300189,Rajasthan,KZQ,KHIMEL,NWR,"Jawai Bandh, Rajasthan"
80.2834127417,23.9150542164,,HDU,HARDUA,,
79.533732,29.215097,Uttarakhand,HDW,HALDWANI,NER,"Haldwani, Uttarakhand"
82.422049,22.029121,,AKT,AKALTARA,,
77.298175,17.98847,Karnataka,HBU,Halbarga,SCR,"Halbarga, Karnataka"
76.755511,18.973377,Maharashtra,GNH,GANGAKHER,SCR,"State Highway 217, Maharashtra"
82.564589,22.022964,,NIA,NAILA,,
83.946305,24.976944,,KMGE,KUMAHU,,
83.895453,24.999465,,SSG,SHIU SAGAR ROAD,,
82.665149,22.034731,,CPH,CHAMPA,,
75.6819899,23.2008894,Madhya Pradesh,GPX,Gautampura Road,WR,"Barnagar, Madhya Pradesh"
73.183592,23.596666,Gujarat,RGQ,RAIGADH ROAD,NWR,"National Highway 8, Gujarat"
72.36834,22.68118,Gujarat,GS,GODHANESHWAR,WR,"Bagodara Dholka Link Rd, Gujarat"
77.801799,28.582962,Uttar Pradesh,GLH,Gulaothi,NR,"Gulaothi, Uttar Pradesh"
88.912953,22.570155,West Bengal,HNB,Hasanabad,ER,"Taki, West Bengal"
81.324846,16.809911,,PUA,PULLA,,
81.364219,16.815341,,KKRM,KAIKORAM,,
